Length	Source
120155	WWTP-E
120149	WWTP-E
120151	WWTP-E
119901	WWTP-E
66749	Pig-I
66749	Pig-I
98529	WWTP-I
66751	Pig-I
119651	Manhole
119526	Manhole
118919	River
78508	WWTP-I
115045	Pig-I
116392	Pig-I
115766	Pig-I
115202	Pig-I
114994	Pig-I
41992	WWTP-I
83970	Pig-I
114928	Pig-I
114979	Pig-I
115733	Pig-I
115515	Pig-I
91270	Pig-I
118514	WWTP-E
100014	River
118503	WWTP-E
113098	WWTP-E
118514	WWTP-E
115807	WWTP-E
118382	WWTP-I
117765	Pig-I
117637	Pig-I
117634	Pig-I
117728	WWTP-I
117713	WWTP-S
117555	Pig-I
60851	WWTP-E
117156	Manhole
117043	Manhole
73860	WWTP-S
116947	WWTP-S
61771	Manhole
60947	River
62790	WWTP-I
116630	Pig-I
113361	WWTP-E
70608	Manhole
70608	Manhole
116462	River
116438	Pig-E
115085	Pig-I
115087	Pig-I
116379	River
116219	WWTP-E
76909	WWTP-S
115926	Pig-I
97960	WWTP-I
115887	Pig-S
58844	Pig-I
115693	WWTP-S
110926	Manhole
110893	Manhole
110892	Manhole
110674	WWTP-I
110675	WWTP-I
110666	WWTP-I
110675	WWTP-I
110675	WWTP-I
112192	WWTP-I
110280	WWTP-E
113481	Pig-E
111136	Pig-I
110675	River
110674	River
109696	River
110675	River
110676	WWTP-I
110674	WWTP-I
110879	River
111262	WWTP-I
110746	WWTP-I
109288	WWTP-I
110856	WWTP-I
110674	WWTP-I
110674	WWTP-I
110674	WWTP-I
110675	WWTP-I
110674	WWTP-I
110674	WWTP-I
110665	WWTP-I
110674	WWTP-I
109714	WWTP-E
110674	WWTP-S
110675	WWTP-S
110675	WWTP-S
110665	WWTP-S
110651	WWTP-S
110401	WWTP-S
110675	WWTP-S
110669	WWTP-S
110674	WWTP-I
110675	WWTP-I
110668	WWTP-I
113293	WWTP-I
108347	WWTP-I
110675	WWTP-I
110678	WWTP-I
110675	WWTP-I
110677	WWTP-I
115508	Pig-I
114719	Pig-I
57651	Pig-I
114703	WWTP-I
83605	Pig-I
82237	Manhole
80121	River
80119	River
113736	WWTP-I
114685	WWTP-I
114702	WWTP-I
114682	WWTP-I
114702	WWTP-I
114684	WWTP-I
114242	Manhole
114241	Manhole
114102	WWTP-I
113976	WWTP-E
89280	WWTP-I
113742	WWTP-E
90626	WWTP-I
113760	BB
107042	Manhole
113699	WWTP-I
92714	River
102585	WWTP-E
113456	WWTP-I
113453	WWTP-E
113446	WWTP-E
89024	River
110466	Pig-I
113343	WWTP-I
112138	WWTP-I
112141	WWTP-I
113210	WWTP-I
113207	Manhole
113090	WWTP-E
90144	WWTP-E
90130	WWTP-E
101259	WWTP-I
98026	Pig-I
113002	WWTP-I
112747	Pig-I
112651	Pig-I
112145	WWTP-I
17685	Pig-I
35212	Pig-I
17684	Pig-I
17684	Pig-I
35109	Pig-I
17672	Pig-I
35059	Pig-I
111732	Fishing water
98455	Manhole
98471	Manhole
98471	Manhole
98469	Manhole
98469	Manhole
101620	Manhole
98471	Manhole
98471	Manhole
98471	Manhole
111524	WWTP-I
111237	WWTP-I
110563	Marine
110505	WWTP-I
110180	WWTP-I
110057	WWTP-I
110052	WWTP-I
109951	WWTP-I
109664	WWTP-I
55778	Fishing water
65592	Pig-I
109605	River
88347	Manhole
109579	WWTP-I
109320	Pig-I
108989	WWTP-I
108869	Manhole
108866	Manhole
108860	Manhole
108843	Fishing water
51905	River
84863	WWTP-I
108829	Marine
108185	WWTP-I
89985	WWTP-E
107769	WWTP-E
97083	WWTP-E
107717	Manhole
54109	Manhole
54106	Manhole
39771	WWTP-I
107547	WWTP-I
107158	Manhole
104355	WWTP-I
107047	Pig-I
105012	Pig-I
99088	River
104614	Pig-I
99505	WWTP-E
106798	Pig-I
106642	Pig-I
94176	WWTP-I
106326	WWTP-I
93392	WWTP-I
94753	WWTP-I
94608	Manhole
98519	Pig-I
93538	WWTP-I
95941	WWTP-I
106135	Pig-I
96699	River
106111	Pig-S
93247	WWTP-I
106100	WWTP-I
106007	WWTP-I
106063	Pig-E
105220	WWTP-E
105007	River
104747	River
104745	WWTP-S
104535	Pig-I
100656	Pig-I
99773	Pig-S
104438	Pig-I
63216	Pig-I
63215	Pig-I
64897	Pig-I
63216	Pig-I
92810	Pig-I
57728	Pig-I
104395	Pig-I
104514	Pig-I
104010	WWTP-S
103834	Pig-I
103517	Pig-S
103423	WWTP-S
102995	Marine
102896	River
102834	Pig-I
102827	Pig-I
102817	Pig-I
102832	Pig-I
102829	Pig-I
102526	Pig-I
102830	Pig-I
102733	River
102726	River
102470	Pig-S
38366	WWTP-E
102364	WWTP-E
95786	BB
89356	WWTP-I
94429	WWTP-I
94414	WWTP-I
102301	Manhole
102175	WWTP-I
101641	WWTP-I
101607	Manhole
101406	WWTP-I
101350	WWTP-E
101269	WWTP-E
101199	Pig-I
100955	WWTP-I
100900	Manhole
100694	WWTP-I
100419	Manhole
96845	WWTP-I
94432	WWTP-I
94235	WWTP-I
99907	WWTP-I
94608	WWTP-E
97401	River
94056	River
92745	WWTP-I
95583	WWTP-E
97089	WWTP-S
96051	WWTP-I
99904	Fishing water
99801	WWTP-I
96053	Pig-I
88278	WWTP-E
98455	WWTP-E
88271	WWTP-E
96723	WWTP-S
99593	WWTP-I
99480	WWTP-E
99467	WWTP-E
99479	WWTP-E
99245	WWTP-I
98471	WWTP-I
98181	Pig-I
98108	Pig-I
96412	Pig-I
96414	Pig-I
96397	Pig-I
98107	Marine
66023	Fishing water
97823	WWTP-E
97798	WWTP-E
97214	BB
96924	WWTP-E
96922	River
96843	WWTP-I
94372	Pig-I
95592	WWTP-S
94214	WWTP-I
96829	Pig-I
96784	River
93939	Manhole
96581	Pig-I
96350	Pig-I
96349	Pig-I
96339	Pig-I
96350	Pig-I
96350	Pig-I
96306	Fishing water
96303	River
96297	River
96303	River
96303	River
96063	WWTP-I
91303	WWTP-I
91936	WWTP-I
91939	WWTP-I
91941	WWTP-I
95874	WWTP-E
73040	WWTP-I
76452	Manhole
76458	Manhole
76458	Manhole
75388	Manhole
76458	Manhole
76453	Manhole
76458	Manhole
78357	Pig-I
78356	Pig-I
78363	Pig-I
95773	Manhole
94861	Manhole
94726	WWTP-E
94230	WWTP-I
86931	Manhole
84300	Manhole
84385	Manhole
83081	Fishing water
82579	Pig-I
84920	River
84901	River
84512	River
82598	WWTP-S
94202	Pig-I
94156	Pig-I
43010	Pig-I
94011	River
93725	Manhole
93722	Manhole
93641	Pig-I
93639	Pig-I
93638	Pig-I
92981	Pig-I
92915	Pig-I
92527	Pig-I
92742	WWTP-E
92614	Pig-I
91828	Pig-I
92470	Pig-I
92469	Pig-I
92465	Pig-I
74267	WWTP-I
92336	River
46161	WWTP-I
46161	River
34895	BB
36107	WWTP-I
45406	WWTP-E
45407	WWTP-E
92317	WWTP-I
91869	Fishing water
83304	River
82463	River
91811	Manhole
91810	Manhole
91811	Manhole
91810	Manhole
91314	WWTP-I
90615	WWTP-E
90567	WWTP-I
90510	WWTP-I
27250	Manhole
54135	Manhole
27245	Manhole
29469	Pig-S
30049	WWTP-S
30049	WWTP-S
30670	Pig-I
90011	WWTP-I
89950	Pig-I
89839	WWTP-I
89461	River
89449	WWTP-I
87107	WWTP-I
87107	WWTP-I
87101	WWTP-I
87107	WWTP-I
89444	WWTP-I
89440	WWTP-S
88066	Pig-I
39850	Pig-I
42661	Pig-I
42968	Pig-I
42968	Pig-I
39859	Pig-I
42862	Pig-I
42793	Pig-I
42969	Pig-I
87969	WWTP-E
87960	WWTP-S
87961	WWTP-S
87662	Pig-I
87652	Pig-I
87520	Manhole
87259	River
87164	River
86919	WWTP-E
86458	WWTP-E
22615	Pig-I
22569	Pig-I
11519	Pig-I
22596	Pig-I
22641	Pig-I
11454	Pig-I
22563	Pig-I
11501	WWTP-I
86362	WWTP-S
86072	WWTP-I
85949	WWTP-I
85680	WWTP-I
51344	Pig-I
85437	River
62111	Manhole
85328	WWTP-I
